id,brand,name,price,processor,Ram,ROM,display_size
0,HP,Victus 15-fb0157AX Gaming Laptop,49900,5th Gen AMD Ryzen 5 5600H,8GB,512GB,15.6
1,HP,15s-fq5007TU Laptop,39900,12th Gen Intel Core i3 1215U,8GB,512GB,15.6
2,Acer,One 14 Z8-415 Laptop,26990,11th Gen Intel Core i3 1115G4,8GB,512GB,14
3,Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,59729,12th Gen Intel Core i5 1240P,16GB,512GB,14
4,Apple,MacBook Air 2020 MGND3HN Laptop,69990,Apple M1,8GB,256GB,13.3
5,Acer,Extensa EX214-53 Laptop,39990,12th Gen Intel Core i5 1240P,8GB,512GB,14
6,Dell,Inspiron 3520 D560896WIN9B Laptop,36790,12th Gen Intel Core i3 1215U,8GB,512GB,15.6
7,Acer,Nitro V ANV15-51 2023 Gaming Laptop,76990,13th Gen Intel Core i5 13420H,16GB,512GB,15.6
8,Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,48990,12th Gen Intel Core i5 12500H,8GB,512GB,15.6
9,Samsung,Galaxy Book2 Pro 13 Laptop,74990,12th Gen Intel Core i5 1240P,16GB,512GB,13.3
10,Lenovo,V15 G3 IAP 82TTA08AIN Laptop,49990,12th Gen Intel Core i7 1255U,16GB,512GB,15.6
11,Ultimus,Pro NU14U3INC43BN-CS Laptop,10990,Intel Celeron  N4020,4GB,128GB,14.1
12,Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,72990,12th Gen Intel Core i5 12500H,16GB,512GB,15.6
13,Primebook,4G Android Laptop,10990,MediaTek MTK8788,4GB,64GB,11.6
15,Lenovo,V15 G4 ‎82YU00W7IN Laptop,29990,7th Gen AMD Ryzen 3 7320U,8GB,512GB,15.6
16,Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,53649,11th Gen Intel Core i5 11400H ,8GB,512GB,15.6
17,MSI,Modern 14 C11M-031IN Laptop,33990,11th Gen Intel Core i3 1115G4,8GB,512GB,14
18,Infinix,Zerobook 2023 Laptop,79990,13th Gen Intel Core i9 13900H,32GB,1TB,15.6
19,HP,Victus 15-fa0666TX Gaming Laptop,68990,12th Gen Intel Core i5 12450H,16GB,512GB,15.6
20,Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,45990,11th Gen Intel Core i5 11300H,8GB,512GB,15.6
